thi  ths  tho  thp  weight      mises      stiff_y        stiff_z
3    8    6    2    0.22463    200.616    6.14103e+07    7.04332e+07    
3    8    6    3    0.236006    204.902    7.07789e+07    8.00147e+07    
3    8    6    4    0.258281    200.831    7.73456e+07    8.65565e+07    
3    8    6    5    0.270358    212.686    8.21653e+07    9.11508e+07    
3    8    6    6    0.283421    192.577    8.59137e+07    9.47525e+07    
3    8    7    2    0.232259    198.018    6.36069e+07    7.22245e+07    
3    8    7    3    0.243635    202.06    7.34647e+07    8.20865e+07    
3    8    7    4    0.26591    197.944    8.03657e+07    8.88153e+07    
3    8    7    5    0.277987    209.534    8.54315e+07    9.36446e+07    
3    8    7    6    0.291051    189.685    8.9365e+07    9.74371e+07    
3    8    8    2    0.2399    195.623    6.56626e+07    7.39014e+07    
3    8    8    3    0.251276    199.457    7.59647e+07    8.39995e+07    
3    8    8    4    0.273551    195.326    8.31825e+07    9.08571e+07    
3    8    8    5    0.285628    206.668    8.84651e+07    9.57764e+07    
3    8    8    6    0.298691    187.056    9.25751e+07    9.96626e+07    
3    8    9    2    0.247552    193.372    6.76079e+07    7.54624e+07    
3    8    9    3    0.258927    197.022    7.83206e+07    8.58094e+07    
3    8    9    4    0.281202    192.844    8.58392e+07    9.28077e+07    
3    8    9    5    0.293279    203.961    9.13697e+07    9.78278e+07    
3    8    9    6    0.306343    184.587    9.56344e+07    1.01777e+08    
3    8    10    2    0.255214    191.189    6.9493e+07    7.70683e+07    
3    8    10    3    0.26659    194.654    8.06369e+07    8.76365e+07    
3    8    10    4    0.288865    190.434    8.84385e+07    9.47737e+07    
3    8    10    5    0.300942    201.391    9.41757e+07    9.98999e+07    
3    8    10    6    0.314005    182.204    9.86223e+07    1.03933e+08    
3    9    4    2    0.216385    203.528    5.74313e+07    6.63138e+07    
3    9    4    3    0.22776    208.311    6.61008e+07    7.45893e+07    
3    9    4    4    0.250034    204.358    7.22687e+07    8.0316e+07    
3    9    4    5    0.262111    216.538    7.68002e+07    8.44002e+07    
3    9    4    6    0.275177    196.123    8.04096e+07    8.77129e+07    
3    9    5    2    0.223992    200.233    6.01247e+07    6.97507e+07    
3    9    5    3    0.235367    204.714    6.93599e+07    7.88901e+07    
3    9    5    4    0.257641    200.731    7.59166e+07    8.51312e+07    
3    9    5    5    0.269718    212.604    8.07539e+07    8.96515e+07    
3    9    5    6    0.282784    192.525    8.45388e+07    9.3206e+07    
3    9    6    2    0.23161    197.398    6.25343e+07    7.18818e+07    
3    9    6    3    0.242985    201.635    7.22976e+07    8.19559e+07    
3    9    6    4    0.265259    197.627    7.92029e+07    8.8909e+07    
3    9    6    5    0.277336    209.256    8.42984e+07    9.38792e+07    
3    9    6    6    0.290402    189.422    8.83012e+07    9.77856e+07    
3    9    7    2    0.239239    194.896    6.47105e+07    7.36315e+07    
3    9    7    3    0.250614    198.901    7.49604e+07    8.39739e+07    
3    9    7    4    0.272889    194.853    8.21991e+07    9.11061e+07    
3    9    7    5    0.284966    206.232    8.75403e+07    9.62604e+07    
3    9    7    6    0.298031    186.65    9.17281e+07    1.00344e+08    
3    9    8    2    0.24688    192.586    6.67486e+07    7.52741e+07    
3    9    8    3    0.258255    196.394    7.74415e+07    8.58444e+07    
3    9    8    4    0.280529    192.337    8.49955e+07    9.30959e+07    
3    9    8    5    0.292606    203.48    9.05526e+07    9.83336e+07    
3    9    8    6    0.305672    184.127    9.49171e+07    1.02507e+08    
3    9    9    2    0.254531    190.415    6.86716e+07    7.68052e+07    
3    9    9    3    0.265906    194.047    7.97803e+07    8.76163e+07    
3    9    9    4    0.288181    189.95    8.76346e+07    9.50022e+07    
3    9    9    5    0.300258    200.878    9.34398e+07    1.00341e+08    
3    9    9    6    0.313323    181.757    9.79584e+07    1.04567e+08    
3    9    10    2    0.262194    188.302    7.05513e+07    7.83862e+07    
3    9    10    3    0.273569    191.765    8.20801e+07    8.94101e+07    
3    9    10    4    0.295843    187.628    9.02184e+07    9.69298e+07    
3    9    10    5    0.30792    198.405    9.62294e+07    1.0237e+08    
3    9    10    6    0.320986    179.465    1.0093e+08    1.06677e+08    
4    3    4    2    0.17707    193.493    5.25063e+07    5.16379e+07    
4    3    4    3    0.188489    198.271    5.81364e+07    5.48729e+07    
4    3    4    4    0.21081    193.386    6.02552e+07    5.72207e+07    
4    3    4    5    0.222935    205.661    6.16617e+07    5.89184e+07    
4    3    4    6    0.236037    186.473    6.27515e+07    6.04475e+07    
4    3    5    2    0.184677    189.866    5.53464e+07    5.51624e+07    
4    3    5    3    0.196096    194.324    6.27848e+07    5.86804e+07    
4    3    5    4    0.218417    189.425    6.51991e+07    6.11497e+07    
4    3    5    5    0.230542    201.354    6.68378e+07    6.29845e+07    
4    3    5    6    0.243644    182.511    6.80526e+07    6.46043e+07    
4    3    6    2    0.192295    186.787    5.78749e+07    5.83584e+07    
4    3    6    3    0.203714    190.985    6.61322e+07    6.21307e+07    
4    3    6    4    0.226035    186.089    6.96508e+07    6.47252e+07    
4    3    6    5    0.23816    197.749    7.14635e+07    6.66564e+07    
4    3    6    6    0.251262    179.147    7.28304e+07    6.83707e+07    
4    3    7    2    0.199925    184.111    6.01411e+07    6.12802e+07    
4    3    7    3    0.211344    188.063    6.89162e+07    6.52739e+07    
4    3    7    4    0.233665    183.148    7.37142e+07    6.79971e+07    
4    3    7    5    0.245789    194.532    7.57028e+07    7.00324e+07    
4    3    7    6    0.258892    176.193    7.72045e+07    7.18277e+07    
4    3    8    2    0.207565    181.651    6.22584e+07    6.4025e+07    
4    3    8    3    0.218984    185.409    7.14988e+07    6.82186e+07    
4    3    8    4    0.241305    180.505    7.74882e+07    7.10705e+07    
4    3    8    5    0.25343    191.637    7.96375e+07    7.31799e+07    
4    3    8    6    0.266532    173.527    8.12597e+07    7.50422e+07    
4    3    9    2    0.215217    179.382    6.42513e+07    6.66263e+07    
4    3    9    3    0.226636    182.951    7.3924e+07    7.10125e+07    
4    3    9    4    0.248957    178.025    8.04454e+07    7.3971e+07    
4    3    9    5    0.261081    188.924    8.3372e+07    7.61888e+07    
4    3    9    6    0.274184    171.049    8.50977e+07    7.81014e+07    
4    3    10    2    0.222879    177.2    6.61841e+07    6.91601e+07    
4    3    10    3    0.234299    180.582    7.63026e+07    7.37494e+07    
4    3    10    4    0.256619    175.634    8.31133e+07    7.68041e+07    
4    3    10    5    0.268744    186.369    8.6965e+07    7.91103e+07    
4    3    10    6    0.281847    168.679    8.88141e+07    8.11094e+07    
4    4    4    2    0.1836    192.138    5.31229e+07    5.59574e+07    
4    4    4    3    0.194978    196.896    6.04204e+07    5.94457e+07    
